Species,Museum,Catalog,ID,TL,SVL,TAL,HL,HW,HH,HE,HP,HN,MBW,MBH,CW,CH,Ven,SC,MID,PO,SO,SL,IL,IOS,Longitude,Latitude,Stage
P_ophryomegas,KU,140088,P_ophryomegas_140088,6.126869184,5.981414211,3.99182682,3.007008928,2.383999198,2.108255321,2.583832446,2.815216185,2.898955221,2.105202855,2.22837698,1.701539852,1.533183827,163,42,23,3,1,10,12,6,-85.53833,10.79167,juvenile
P_ophryomegas,KU,140089,P_ophryomegas_140089,6.192362489,6.06610809,3.868137844,3.04817879,2.418453723,2.138727522,2.70063562,2.863511993,2.981520613,2.195474114,2.198592446,1.518845529,1.430390137,174,37,23,1,1,10,14,6,-86.028031,11.901107,juvenile
P_ophryomegas,KU,174455,P_ophryomegas_174455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,NA,21,2,1,10,12,5,-86.196891,11.909968,juvenile
P_ophryomegas,KU,174456,P_ophryomegas_174456,5.81711116,5.666426688,3.984416663,2.913948283,2.446845216,2.1471427,2.62547703,2.816691904,2.870090126,2.315462062,2.584031848,1.447540518,1.483358146,161,40,23,2,1,10,11,7,-86.19938,11.91064,juvenile
P_ophryomegas,KU,174457,P_ophryomegas_174457,5.669880923,5.537334267,3.845919727,2.995728561,2.40263623,1.970170347,2.620426016,2.818031811,2.958931966,2.007949379,2.079010159,1.466617507,1.668698966,169,34,23,3,1,10,13,6,-86.735679,12.753814,NA
P_ophryomegas,KU,174458,P_ophryomegas_174458,6.013715156,5.894402834,3.79180967,3.074749295,2.502502033,2.236917617,2.7692434,2.932752328,3.036521848,2.203965568,2.533022739,1.526110729,1.491860617,NA,38,25,2,1,9,13,7,-86.05996,11.927646,adult
P_ophryomegas,KU,174459,P_ophryomegas_174459,6.336825731,6.210600077,3.88666379,3.022147595,2.501300017,2.226231768,2.646544895,2.81741303,2.934097207,2.024765314,1.995753432,1.333678828,1.593082939,165,35,25,2,1,10,12,7,-86.012823,12.363559,juvenile
P_ophryomegas,KU,174460,P_ophryomegas_174460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,32,NA,3,1,10,12,6,-85.918419,12.958553,adult
P_ophryomegas,KU,174461,P_ophryomegas_174461,6.442540166,6.28785856,4.089779541,2.989627938,2.527755061,2.064858892,2.581810425,2.774402091,2.906082177,2.386631092,2.284267124,1.758301279,1.536191233,165,41,23,3,1,10,11,8,-83.816953,9.700521,juvenile
P_ophryomegas,KU,203017,P_ophryomegas_203017,5.958424693,5.796057751,4.071729542,2.376579285,2.387935654,2.03508286,2.544573126,2.776126606,2.857911354,2.255720428,1.680960193,1.437901081,1.347471824,171,44,25,2,1,9,12,6,-87.22323,13.31342,juvenile
P_ophryomegas,KU,209356,P_ophryomegas_209356,5.897153868,5.765191103,3.871271877,3.117598403,2.644095467,NA,2.892108798,3.0458569,3.055214853,2.452381494,1.980958863,1.434440672,1.515951717,173,36,27,3,1,NA,NA,7,-85.785509,10.313843,NA
P_ophryomegas,KU,301559,P_ophryomegas_301559,5.996452089,5.85220248,3.967176045,3.149915868,2.461055966,2.109904693,2.661539054,2.877514083,2.988772608,2.126864961,2.072430596,1.466721953,1.597270304,168,43,25,3,2,10,12,6,-85.786132,10.314518,juvenile
P_ophryomegas,KU,301560,P_ophryomegas_301560,5.726847748,5.598421959,3.823741537,2.999130156,2.469208435,2.16514483,2.630735271,2.832526547,2.950844851,2.275059281,2.140475309,1.531018944,1.548877552,160,40,25,3,1,10,11,7,-89.21667,14.36667,adult
P_ophryomegas,KU,335556,P_ophryomegas_335556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-83.11654663,8.60004139,adult
P_porrasi,LSU,11652,P_porrasi_11652,5.710427017,5.59471138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,28,23,3,1,11,13,7,-83.565331,8.510291,juvenile
P_porrasi,UTA,52898,P_porrasi_52898,5.942799375,5.831882477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,25,25,1,1,9,12,8,-83.383205,9.132994,juvenile
P_volcanicum,UTA,24829,P_volcanicum_24829,6.23636959,6.12905021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,31,27,2,3,10,12,10,-87.686112,21.109942,NA
P_yucatanicum,FMNH,544,P_yucatanicum_544,6.049733455,5.888877958,4.051008057,2.985301581,2.585326947,2.125335999,2.636984125,2.794597086,2.934347532,2.132738671,2.474286114,1.726570463,1.654697665,146,40,25,1,1,9,10,8,?,20.8691,juvenile
P_yucatanicum,CNAR,15562,P_yucatanicum_15562,5.587248658,5.468060141,3.749296682,3.006741956,2.467213202,2.264523425,2.650255977,2.873147416,2.984659336,2.432857796,2.452972595,1.486174328,1.680948587,157,41,27,3,1,11,10,7,-87.686112,21.109942,adult
P_yucatanicum,FMNH,20621,P_yucatanicum_20621,6.295266001,6.173786104,3.80129235,3.07350947,2.506208362,2.225952332,2.679973509,2.857862603,3.005468289,2.076538187,2.226294445,1.469891976,1.553029266,NA,NA,NA,NA,NA,NA,NA,NA,-88.568264,20.682631,juvenile
P_yucatanicum,FMNH,20626,P_yucatanicum_20626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.568264,20.682631,juvenile
P_yucatanicum,FMNH,20626,P_yucatanicum_20626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.568264,20.682631,adult
P_yucatanicum,FMNH,20626,P_yucatanicum_20626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.568264,20.682631,NA
P_yucatanicum,FMNH,20626,P_yucatanicum_20626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.568264,20.682631,adult
P_yucatanicum,FMNH,20626,P_yucatanicum_20626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.568264,20.682631,juvenile
P_yucatanicum,FMNH,20626,P_yucatanicum_20626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.568264,20.682631,juvenile
P_yucatanicum,FMNH,20626,P_yucatanicum_20626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.568264,20.682631,NA
